Designator,Footprint,Quantity,Value,LCSC Part #
"GND1, HVGND1, RCLK1, SDA1",PinHeader_1x01_P1.00mm_Vertical,4,~,
HV1,PinHeader_1x01_P1.00mm_Vertical,1,170,
"LowerRegister1, UpperRegister1",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC595,
"NX1, NX2, NX3, NX4",IN-14,4,~,
"R1, R2, R3, R4, R_vamp1",1206,5,22k,
"RA1, RA2, RA3, RA4, RD0, RD1, RD10, RD11, RD2, RD3, RD4, RD5, RD6, RD7, RD8, RD9",1206,16,1500,
"RD10-1, RD11-1",1206,2,10k,
"RL1, RL2, RL3, RL4, RLD0, RLD1, RLD10, RLD11, RLD2, RLD3, RLD4, RLD5, RLD6, RLD7, RLD8, RLD9",SOP-4_3.8x4.1mm_P2.54mm,16,~,
SCLK1,PinHeader_1x01_P1.00mm_Vertical,1,SCLK,
VIN1,PinHeader_1x01_P1.00mm_Vertical,1,3.3,
